,用户的id,用户的姓名,保密,女,男,"用户的签名（0,1）",用户的等级,有没有佩戴粉丝牌,vip,关注数,粉丝数,收藏夹总视频数,收藏夹id,视频数量,视频的时长,视频的bv_id,视频的id,视频的收藏数,视频的播放数,视频的弹幕数,点赞数,投币数,分享数,视频的up主的粉丝数,这个视频的第几个tag,标签的id,标签的名字,标签的订阅数,这个标签下的视频投稿数,这个标签下的精选视频数,大Tag
9157,12579.0,yogsu,1.0,0.0,0.0,1.0,0.836650855,1.0,1.0,1.294235872,-0.082320398,1.965919923,963907679.0,85.0,653.0,BV1NM4y1A7gk,934687394.0,-0.289299805,-0.271551764,-0.156298121,-0.286144132,-0.229857274,-0.28929476,-0.193037941,0.0,41917.0,心理学,-0.091695277,-0.476053909,-0.342099537,知识
9475,12583.0,普京,1.0,0.0,0.0,1.0,0.836650855,1.0,1.0,-0.412107184,-0.080427961,-0.43328566,62212483.0,258.0,989.0,BV1554y1k7DN,842293604.0,1.067441439,1.448674873,0.38253099,1.547640214,1.398105714,1.068589076,0.83906655,1.0,7945544.0,原神,-0.103339243,-0.083022639,0.329900496,游戏
9489,12767.0,艹,0.0,0.0,1.0,1.0,0.836650855,1.0,1.0,1.296837004,-0.076007621,-0.475246743,62151967.0,128.0,474.0,BV1w34y1m7D2,806102804.0,0.771427494,0.409224811,-0.055517339,2.260661947,1.608224871,0.773706576,0.104635958,0.0,103406.0,书法,-0.400033264,-0.461698863,-0.380502388,知识
9498,12863.0,紫陌纤寒,0.0,0.0,1.0,0.0,-0.731780643,0.0,1.0,-0.513551359,-0.082753354,-0.372280702,55805163.0,355.0,193.0,BV1DD4y1R71L,712316792.0,0.964254126,1.072143104,-0.015128654,1.571540384,1.094103531,0.962876482,0.686060177,0.0,14377864.0,说唱新世代,-0.628856132,-0.503526498,-0.373420304,综艺
9533,14023.0,亚克蜥,0.0,0.0,1.0,1.0,-0.731780643,0.0,1.0,-0.492742297,-0.075833042,-0.514302827,462585023.0,7.0,2210.0,BV1PW411Z7JP,31054793.0,-0.282595356,-0.218333897,-0.060070245,-0.30179476,-0.238829809,-0.282590356,-0.18293952,0.0,9222.0,英雄联盟,1.757015316,0.305553618,0.334139772,游戏
9539,14027.0,月咏小萌,0.0,1.0,0.0,1.0,-0.731780643,0.0,0.0,-0.693029516,-0.082292465,-0.427798442,62036727.0,275.0,295.0,BV1VW411s7cc,20613348.0,-0.273058903,-0.20157482,-0.127526691,-0.281356132,-0.234582719,-0.273053968,-0.191599681,1.0,11687.0,综艺,0.010326462,0.876785465,0.188558052,综艺
9545,14032.0,TingLoad,1.0,0.0,0.0,1.0,-0.731780643,0.0,1.0,-0.112976922,-0.08263464,0.187415582,45602232.0,188.0,341.0,BV1YZ4y1j7s5,370100101.0,3.019854901,4.202436961,6.619571948,4.192592341,3.65129837,3.021490158,5.490460301,2.0,11687.0,综艺,0.010326462,0.876785465,0.188558052,综艺
9735,14043.0,ShigaHarukiっ,0.0,0.0,1.0,0.0,-0.731780643,1.0,1.0,-0.474534369,-0.082704472,-0.501391725,957290643.0,17.0,308.0,BV1T34y1o73U,806829194.0,0.838227175,0.357686553,-0.079765236,0.71113427,0.709630181,0.840472425,0.227041057,1.0,28784.0,编程,-0.027576238,-0.395121148,-0.361300963,知识
9760,14044.0,秋明菊,0.0,0.0,1.0,1.0,0.836650855,0.0,1.0,-0.191010904,-0.082585758,-0.483961737,63088244.0,101.0,120938.0,BV1P44y1a7SX,977161632.0,1.413925141,-0.094782511,-0.127453257,0.113630025,0.267038766,1.413545962,-0.132355613,1.0,337310.0,AE教程,-0.527344668,-0.501546492,-0.395314917,知识
9768,14152.0,皮纳特天天,0.0,0.0,1.0,1.0,0.836650855,1.0,1.0,0.969094283,-0.06029551,-0.364211263,971721052.0,59.0,887.0,BV1Z4411W77T,53495074.0,-0.294273895,-0.279032747,-0.154800068,-0.297775548,-0.238431923,-0.294268816,-0.198331962,0.0,11687.0,综艺,0.010326462,0.876785465,0.188558052,综艺
9831,14153.0,天长地苟,0.0,0.0,1.0,0.0,0.836650855,0.0,1.0,-0.289853946,-0.082739387,0.061532335,772603953.0,15.0,425521.0,BV1bb4y1k7ef,631641584.0,1.347553878,-0.091927259,-0.087372996,0.137530195,0.253626905,1.346780113,-0.120191607,0.0,337310.0,AE教程,-0.527340126,-0.501546492,-0.395314917,知识
9900,14155.0,七色玩具爱丽丝,1.0,0.0,0.0,0.0,-0.731780643,1.0,1.0,0.396845088,-0.082697488,-0.435545103,62352955.0,116.0,214.0,BV1t34y1D7SX,805760588.0,0.009629601,0.098989567,-0.095656348,0.113630025,0.240215044,0.011463134,0.165838508,0.0,148937.0,电棍,-0.680406047,-0.504516501,-0.377809201,游戏
9931,14161.0,紫菜包子铺,1.0,0.0,0.0,1.0,-2.300212141,0.0,0.0,-0.799675957,-0.081663981,-0.414241784,143417161.0,8.0,313462.0,BV17x411A7o5,1938731.0,0.043558008,0.191667846,4.021008049,-0.3096858,-0.226075129,0.044846058,-0.153791806,5.0,11687.0,综艺,0.010326462,0.876785465,0.188558052,综艺
10003,14164.0,AmuoRay姆罗,0.0,0.0,1.0,1.0,0.836650855,0.0,1.0,-0.573377411,0.798919543,-0.406172345,155801164.0,8.0,2579.0,BV17x41117Jk,8892048.0,-0.311104565,-0.304054876,-0.161232884,-0.312557804,-0.242111244,-0.311099374,-0.216478517,2.0,11687.0,综艺,0.010326462,0.876785465,0.188558052,综艺
10468,14165.0,huyu211,1.0,0.0,0.0,0.0,0.836650855,1.0,0.0,-0.843895213,-0.08170588,-0.512688939,45531365.0,5.0,207.0,BV1w4411s7NR,53507876.0,0.027139063,0.135590865,-0.134546979,-0.11740495,-0.175552648,0.028154596,-0.048370415,0.0,17034.0,欧美音乐,0.279336915,-0.304783356,-0.354169004,音乐
10469,14268.0,道知风有只,1.0,0.0,0.0,1.0,-0.731780643,1.0,1.0,-0.68782725,-0.082522909,-0.505587833,322546268.0,8.0,16528.0,BV1Yi4y147ZA,540731656.0,-0.118739734,-0.211775052,-0.102133224,-0.268772692,-0.222400279,-0.116504743,-0.171387539,0.0,14379.0,PR,-0.363784036,-0.494368969,-0.390576903,知识
10491,14279.0,带鱼,0.0,0.0,1.0,1.0,0.836650855,1.0,1.0,0.506092662,-0.081189126,0.062500668,1385656679.0,4.0,245610.0,BV1es41127PE,3060477.0,4.729506104,2.749602359,36.81841163,0.846568566,1.281869585,4.729583127,1.282785033,0.0,109540.0,日语学习,-0.259821131,-0.480261423,-0.385240403,知识
10738,14373.0,李别方,0.0,0.0,1.0,1.0,-0.731780643,0.0,1.0,-0.425112847,-0.082732404,-0.424570666,48455473.0,47.0,5554.0,BV1jJ411B7bj,78036347.0,0.805433795,-0.001600879,-0.073831771,-0.073587972,-0.144258306,0.807089501,0.012832134,1.0,11687.0,综艺,0.010335547,0.876785465,0.188607926,综艺
10836,14375.0,红的境界,1.0,0.0,0.0,1.0,0.836650855,1.0,1.0,-0.17800524,-0.082390229,-0.131488644,86891275.0,14.0,177.0,BV15b411Y7ua,44190010.0,-0.191181167,-0.279665802,-0.160513231,-0.275022587,-0.202599901,-0.188834413,-0.210006348,0.0,335752.0,PS教程,-0.033325541,-0.486201442,-0.388083211,知识
10888,14395.0,Ding飛機,0.0,0.0,1.0,1.0,0.836650855,1.0,1.0,-0.747653303,-0.082718438,-0.429735107,1065191095.0,58.0,369.0,BV1hx411x7Bg,14175431.0,-0.106560449,0.086922698,-0.043341986,-0.220972353,-0.19790575,-0.105377102,-0.01776914,2.0,641033.0,国内综艺,-0.522376677,-0.242660655,-0.246840515,综艺
10972,14418.0,Kanna阿飘大ヘンタイ,0.0,0.0,1.0,1.0,0.836650855,1.0,1.0,-0.138988249,-0.082641623,-0.448778983,62245518.0,205.0,765.0,BV1y64y1q757,759949922.0,4.102119895,4.270746902,3.333695447,8.243671126,10.85346775,4.100871382,12.40634838,0.0,16230013.0,黑神话悟空,-0.562381046,-0.510136749,-0.381200622,游戏
11001,14424.0,伊吹小鳥,0.0,1.0,0.0,1.0,-0.731780643,1.0,0.0,0.188754471,-0.082390229,-0.312244076,933466124.0,56.0,4951.0,BV1J54y1z7d9,841207447.0,-0.3083282,-0.29919678,-0.161585367,-0.298209735,-0.237157797,-0.308323027,-0.215545179,1.0,11687.0,综艺,0.010335547,0.876785465,0.188607926,综艺
11115,14455.0,逝去的魔术师,1.0,0.0,0.0,1.0,-0.731780643,1.0,1.0,-0.830889549,-0.082753354,-0.497841172,62353255.0,53.0,238675.0,BV187411Z7bx,96903054.0,3.303255579,0.911291091,1.447984486,0.535866358,0.217861942,3.305245016,0.548354441,1.0,335752.0,PS教程,-0.033324027,-0.486201442,-0.388083211,知识
11127,14460.0,衛宮士郎,0.0,0.0,1.0,1.0,-0.731780643,1.0,0.0,-0.136387117,-0.082718438,-0.375831255,1151711160.0,4.0,144.0,BV1kT4y1d7pa,934006724.0,-0.309897208,-0.301259392,-0.162466575,-0.311279144,-0.242397364,-0.309892025,-0.207083926,1.0,11687.0,综艺,0.010335547,0.876785465,0.188607926,综艺
11155,14503.0,奶茶超人,0.0,0.0,1.0,1.0,0.836650855,0.0,0.0,-0.047948605,0.178214338,-0.512688939,54081303.0,12.0,169.0,BV11V411s7qe,418770386.0,-0.310342317,-0.303258373,-0.162598756,-0.310175753,-0.240246995,-0.31033713,-0.216432616,0.0,2296.0,魔兽世界,-0.54172474,-0.477538914,-0.377958823,游戏
11168,14548.0,西行风咲,0.0,0.0,1.0,1.0,0.836650855,1.0,1.0,-0.539562686,-0.082725421,-0.470727857,62293348.0,101.0,419.0,BV1et4y11775,625644711.0,0.172700719,1.746543797,0.050682871,0.882418821,0.758807004,0.172813936,0.456550617,1.0,3023780.0,桌游棋牌,-0.607473025,0.383268869,-0.090635668,游戏
11211,14558.0,不明火焰,0.0,0.0,1.0,1.0,0.836650855,1.0,0.0,-0.575978544,-0.082753354,-0.445551207,1418883758.0,14.0,221.0,BV1sg4y1B7S1,838228207.0,-0.248911759,-0.249549147,-0.152523615,-0.268772692,-0.235901552,-0.250036441,-0.16900064,0.0,8099.0,SNL,-0.6259247,-0.508971516,-0.393070595,综艺
11297,14574.0,历战S117,1.0,0.0,0.0,0.0,-0.731780643,0.0,0.0,-0.373090193,-0.082746371,-0.487835067,62780074.0,89.0,636.0,BV15t411i7UF,38142749.0,-0.309880517,-0.301129691,-0.162760311,-0.312012083,-0.242375011,-0.309875333,-0.21629491,0.0,31864.0,公开课,0.507522318,0.18254572,-0.049838872,知识
11311,14597.0,-溺RERU翼-,1.0,0.0,0.0,1.0,0.836650855,0.0,1.0,-0.633203464,-0.082718438,0.000850154,47601697.0,227.0,238.0,BV1X54y1S73Z,839036537.0,0.230381237,0.855830089,0.410391839,0.623500314,-0.153199547,0.228452143,0.624857628,0.0,81265.0,日本综艺,-0.462526084,-0.482983932,-0.371475225,综艺
11508,14635.0,d0972,1.0,0.0,0.0,0.0,-0.731780643,0.0,0.0,-0.859502009,-0.082753354,-0.477828963,62204435.0,120.0,509.0,BV1o64y187Z9,763312675.0,1.289522837,0.134813269,-0.100356122,0.129563471,0.146332017,1.291141906,-0.002468503,0.0,4344.0,健身,0.263954463,-0.044907515,-0.230282402,运动
11524,14647.0,鲞焐肉,1.0,0.0,0.0,0.0,-0.731780643,0.0,1.0,-0.698231781,-0.082746371,-0.471696189,62199447.0,47.0,10424.0,BV1Kk4y1m7cP,753963501.0,-0.165709824,-0.241926062,-0.079633055,-0.240889161,-0.217071299,-0.16657913,-0.165955813,0.0,49741.0,奥运会,-0.621052101,-0.48867645,-0.291876586,运动
11572,14670.0,YonagiKei,0.0,0.0,1.0,1.0,-2.300212141,0.0,0.0,-0.734647639,-0.082515926,-0.508492831,62654670.0,25.0,20203.0,BV1gW411G7Er,22981167.0,0.533260983,-0.079451771,-0.001234947,-0.197072183,-0.19790575,0.534462284,-0.002468503,1.0,2739.0,演讲,0.020615247,-0.457243848,-0.361201215,知识
11579,14730.0,人参啊,1.0,0.0,0.0,0.0,0.836650855,0.0,0.0,0.050894438,-0.082585758,-0.230904132,50912430.0,565.0,685.0,BV1GQ4y1Q7xk,718758664.0,0.133775968,-0.010458766,0.065619341,0.404415424,0.31174497,0.13386719,0.349446156,1.0,105286.0,国家宝藏,-0.434872799,-0.505754005,-0.377609706,综艺
11605,14739.0,ohohohyx,0.0,0.0,1.0,1.0,-0.731780643,0.0,0.0,-0.594186473,-0.079331605,-0.480411184,47966739.0,74.0,501.0,BV14P4y1576K,891676815.0,-0.301718337,-0.229785601,-0.127835114,-0.18910546,-0.19790575,-0.301713208,-0.212882868,1.0,99344.0,利物浦,-0.678785885,-0.505259004,-0.394018197,运动
11630,14746.0,独行者艾里克,0.0,0.0,1.0,1.0,0.836650855,1.0,0.0,-0.807479355,-0.078563457,-0.510106719,62572646.0,20.0,11640.0,BV1rW41187HP,17515141.0,0.624280138,0.57136001,2.156005468,0.057862962,0.025625267,0.623483416,0.640158265,0.0,610.0,皮卡丘,-0.673247051,-0.500556489,-0.38534015,游戏
11655,14765.0,三k雨,0.0,1.0,0.0,1.0,-0.731780643,0.0,0.0,-0.893316734,-0.069087309,-0.480411184,61945665.0,39.0,3972.0,BV1wx411T7mG,1095603.0,-0.285555329,-0.277287679,-0.112839897,-0.311195494,-0.241038295,-0.285550309,-0.213938612,0.0,48590.0,上古卷轴5,-0.66558838,-0.5040215,-0.392222739,游戏
11706,14816.0,TohnoSeika,1.0,0.0,0.0,1.0,-0.731780643,0.0,0.0,-0.877709938,-0.080937732,-0.308370746,56745516.0,197.0,924.0,BV1ov411A7D1,250195265.0,-0.280737028,-0.255541618,-0.1515396,-0.275189888,-0.229258211,-0.28073204,-0.191171263,0.0,4346.0,脱口秀,-0.43799956,-0.470608892,-0.359754874,综艺
11770,14885.0,A岛细作,1.0,0.0,0.0,0.0,-0.731780643,0.0,1.0,-0.739849905,-0.082753354,-0.44393732,62293985.0,193.0,340.0,BV1Zt4y1e7Sh,627770061.0,0.730822458,-0.109962001,-0.13165368,0.061846323,0.115037674,0.72919601,-0.126740279,0.0,47481.0,职场,-0.507272832,-0.293150818,-0.248187108,知识
11789,14894.0,大島優子YUKO,0.0,1.0,0.0,0.0,0.836650855,0.0,0.0,-0.284651681,-0.080260365,-0.49009451,48654194.0,82.0,13973.0,BV1CZ4y1x7pK,370283881.0,-0.310080816,-0.302975999,-0.162099405,-0.312147517,-0.242531482,-0.310075631,-0.2160501,2.0,11687.0,综艺,0.010337062,0.876785465,0.188607926,综艺
11795,14909.0,月桂の華,1.0,0.0,0.0,1.0,-0.731780643,1.0,0.0,-0.693029516,-0.080567624,-0.398102906,723173709.0,37.0,255.0,BV1A4411X7CE,62979905.0,-0.309296312,-0.289478557,-0.161423813,-0.310283304,-0.242366069,-0.309291132,-0.214550637,0.0,170997.0,北京奥运会,-0.685210508,-0.510261737,-0.390177912,运动
11808,14921.0,气刃大回旋503,0.0,0.0,1.0,0.0,-0.731780643,1.0,1.0,-0.739849905,-0.082648606,-0.505910611,61885521.0,32.0,100.0,BV1D64y1F7Dk,584090412.0,-0.117448919,-0.10808093,-0.122415687,0.069813047,-0.077199001,-0.116504743,-0.127214599,2.0,4346.0,脱口秀,-0.43799956,-0.470608892,-0.359754874,综艺
11822,14928.0,小雅,1.0,0.0,0.0,1.0,0.836650855,1.0,0.0,-0.674821587,-0.081719846,-0.51527116,62644628.0,4.0,323878.0,BV12W411h76f,17171032.0,0.38643633,0.355580639,1.498712674,0.089729855,-0.019080936,0.384239124,0.028132772,0.0,25483.0,GMV,-0.630165889,-0.418138722,-0.316414512,游戏
11825,14938.0,苏格拉底的驴子,0.0,0.0,1.0,0.0,-0.731780643,0.0,0.0,-0.503146828,-0.082732404,0.050235121,45560438.0,1167.0,978.0,BV1R4411A7wy,55318768.0,-0.310281114,-0.3030563,-0.161952537,-0.3120081,-0.242522541,-0.310275928,-0.214979055,0.0,17098.0,剑道,-0.678239269,-0.505754005,-0.394367314,运动
11867,14941.0,在逃骂人犯星儿,1.0,0.0,0.0,1.0,0.836650855,0.0,1.0,-0.799675957,-0.081447503,-0.436836213,62293341.0,233.0,243.0,BV1VU4y1P7x5,675286695.0,-0.294752386,-0.278402742,-0.158706756,-0.307805653,-0.241203708,-0.294747305,-0.182036783,1.0,81265.0,日本综艺,-0.462524569,-0.482983932,-0.371475225,综艺
11885,14961.0,Akokokoko,1.0,0.0,0.0,1.0,-0.731780643,0.0,0.0,-0.05315087,-0.082376263,-0.450715648,61952461.0,200.0,102866.0,BV17P4y1a7iB,890733876.0,0.130599005,-0.188177194,-0.154476959,-0.240889161,-0.202707196,0.12830337,-0.191186564,0.0,41917.0,心理学,-0.091566572,-0.476053909,-0.341800294,知识
11900,14981.0,滚筒龙卷风,0.0,0.0,1.0,1.0,0.836650855,0.0,1.0,-0.59158534,-0.081908391,-0.22315747,62204881.0,717.0,366.0,BV1Nz4y197Z9,583335587.0,-0.306636787,-0.295737138,-0.160469171,-0.308869211,-0.241427239,-0.306631626,-0.207359338,0.0,4346.0,脱口秀,-0.43799956,-0.470608892,-0.359754874,综艺
11974,14982.0,T了个P,0.0,0.0,1.0,1.0,-0.731780643,0.0,1.0,-0.859502009,-0.082739387,-0.3751857,62844982.0,338.0,299.0,BV1RF411B7hT,294669524.0,0.414678474,0.19976806,-0.075931983,0.292881298,0.043507749,0.412058228,-0.105977315,3.0,28784.0,编程,-0.027574724,-0.395121148,-0.361251089,知识
12054,14995.0,小冷,1.0,0.0,0.0,0.0,-0.731780643,0.0,1.0,-0.729445374,-0.082704472,-0.450070093,62012895.0,206.0,31.0,BV18M4y1u7bs,931255831.0,0.078827305,-0.133865814,-0.159294227,-0.033754356,-0.205867925,0.078228983,-0.194323195,1.0,372799.0,考研,-0.142756114,-0.410713698,-0.347136794,知识
12063,15010.0,林果prosciutttto,0.0,0.0,1.0,1.0,0.836650855,1.0,1.0,-0.750254435,-0.082718438,-0.49009451,62638610.0,82.0,256.0,BV1uE411375k,96219562.0,2.454127369,1.452104021,0.120724194,1.914109485,1.460694399,2.453980442,1.527595231,1.0,31864.0,公开课,0.507510205,0.18254572,-0.050237863,知识
12071,15022.0,misoeear,0.0,0.0,1.0,0.0,-0.731780643,1.0,1.0,-0.393899255,-0.082746371,-0.424570666,1380941222.0,8.0,43732.0,BV1RZ4y1W7qp,370456049.0,-0.034998105,-0.2238283,-0.117906841,-0.268772692,-0.229584566,-0.033047432,-0.157999482,0.0,2739.0,演讲,0.020601619,-0.457243848,-0.361350836,知识
12106,15059.0,Emiya,1.0,0.0,0.0,0.0,0.836650855,1.0,1.0,0.230372595,-0.082704472,-0.499455059,62275459.0,53.0,31306.0,BV1F54y1i7L1,841604497.0,-0.286401035,-0.293005895,-0.15919142,-0.307092631,-0.239934052,-0.28639601,-0.212791064,3.0,11687.0,综艺,0.010324948,0.876785465,0.188558052,综艺
12129,15161.0,印第安纳囧死博士,1.0,0.0,0.0,0.0,0.836650855,1.0,0.0,1.411286843,-0.082383246,-0.453620646,1189618861.0,7.0,1645.0,BV1pi4y1K7yM,544659589.0,0.33522658,-0.073347692,-0.11626192,-0.097488142,-0.028022177,0.334164737,-0.079767323,1.0,4344.0,健身,0.263955977,-0.044907515,-0.23038215,运动
12159,15181.0,Base,0.0,0.0,1.0,1.0,0.836650855,1.0,1.0,-0.047948605,-0.082550842,-0.399716794,51737181.0,362.0,3283.0,BV13V411Y7Sw,415469541.0,-0.217464833,-0.074820551,0.038199096,-0.09350478,0.007742786,-0.216653517,-0.19877568,0.0,1236089.0,宫崎英高,-0.686067528,-0.498823983,-0.384392548,游戏
12178,15198.0,宿草,0.0,0.0,1.0,1.0,0.836650855,0.0,0.0,-0.828288417,-0.082467044,-0.499132282,62508298.0,54.0,1091.0,BV1Fh411a7fv,206566431.0,0.036469653,-0.193790524,-0.155930952,-0.236905799,-0.157670167,0.033718417,-0.178058617,0.0,1463475.0,增肌,-0.620843145,-0.491893961,-0.380751758,运动
12197,15200.0,卧了个槽,0.0,0.0,1.0,0.0,-0.731780643,0.0,0.0,-0.300258477,-0.082739387,-0.370989592,1143396900.0,8.0,41370.0,BV1jX4y1L72n,714321589.0,-0.116725617,-0.254907344,-0.131213077,-0.268772692,-0.222601457,-0.116504743,-0.190528637,1.0,49422.0,TED,0.076283703,-0.506001506,-0.39391845,知识
12401,15203.0,laoshi,0.0,0.0,1.0,1.0,-3.868643638,0.0,0.0,-0.888114469,-0.082662573,-0.513657272,94938003.0,9.0,283.0,BV1px411w7hJ,218892.0,-0.306736937,-0.29770034,-0.147104188,-0.312490086,-0.242205127,-0.306731774,-0.216402014,0.0,25483.0,GMV,-0.630165889,-0.418138722,-0.31651426,游戏
12402,15223.0,Sdio810,0.0,1.0,0.0,1.0,0.836650855,0.0,1.0,-0.674821587,-0.082201684,-0.44393732,53449623.0,162.0,90.0,BV1k44y1r7h3,973267456.0,-0.289566871,-0.036154405,-0.12620488,-0.125371673,-0.22053603,-0.289561824,0.21174042,0.0,1404375.0,王者荣耀,0.890437715,0.235758392,0.079434104,游戏
12419,15317.0,曼达洛秃,1.0,0.0,0.0,1.0,-0.731780643,0.0,1.0,-0.39910152,-0.081698896,-0.466531749,62442017.0,155.0,648.0,BV1Dh411x74F,209196107.0,-0.269197586,-0.258686156,-0.100018325,-0.252839246,-0.22716596,-0.269192676,-0.175595214,0.0,11687.0,综艺,0.010332519,0.876785465,0.188558052,综艺
12425,15333.0,宵夜,0.0,0.0,1.0,0.0,0.836650855,0.0,1.0,-0.838692947,-0.082746371,-0.473632855,836075533.0,4.0,53379.0,BV12x411f7Gp,58214465.0,-0.030613785,-0.194447567,-0.025556278,-0.268772692,-0.208599474,-0.033047432,-0.167042158,0.0,335752.0,PS教程,-0.033325541,-0.486201442,-0.388083211,知识
12448,15480.0,布莱特-雷欧波德,0.0,0.0,1.0,1.0,0.836650855,1.0,1.0,-0.575978544,-0.082075987,-0.2932002,1036569680.0,10.0,71.0,BV1dB4y1M7Uz,588760207.0,-0.223924472,-0.064732537,-0.135384126,-0.069604611,-0.104022723,-0.222217337,-0.111562047,0.0,98890.0,C4D,-0.580710072,-0.493378965,-0.38898094,知识
12565,15500.0,琉璃风铃,1.0,0.0,0.0,1.0,-0.731780643,0.0,0.0,-0.833490682,-0.082439111,-0.056927028,48176300.0,912.0,62.0,BV1wB4y1u7R1,588747861.0,-0.293149995,0.003403588,-0.150614332,-0.181138736,-0.23739921,-0.293144924,-0.107033059,0.0,47481.0,职场,-0.507272832,-0.293150818,-0.248236982,知识
12606,15548.0,伝えない思い,1.0,0.0,0.0,0.0,0.836650855,1.0,0.0,-0.445921909,-0.082432128,-0.450715648,55470448.0,204.0,6248.0,BV1K64y1r7pp,761128481.0,2.021615292,0.347865666,0.057644412,0.611550229,1.013632364,2.020002423,0.074034684,0.0,14379.0,PR,-0.36378555,-0.494368969,-0.390576903,知识
12628,15607.0,林小煌,0.0,0.0,1.0,1.0,0.836650855,1.0,1.0,-0.477135501,-0.082676539,-0.425861776,61541707.0,28.0,33739.0,BV1yN41197aJ,501992014.0,-0.17089534,-0.24337046,-0.161232884,-0.288462449,-0.222529927,-0.172142951,-0.202799748,0.0,41917.0,心理学,-0.091572629,-0.476053909,-0.341850168,知识
12659,15646.0,果氵十Salad,1.0,0.0,0.0,1.0,-0.731780643,1.0,0.0,0.009276315,-0.082683522,-0.379059031,848313446.0,1.0,5580.0,BV1Xs411q7DW,4548006.0,5.852031176,2.194321669,0.767956534,0.818685035,0.928690578,5.853474918,1.58879778,0.0,335752.0,PS教程,-0.033324027,-0.486201442,-0.388083211,知识
12811,15712.0,阿斯拉加,0.0,0.0,1.0,0.0,0.836650855,1.0,1.0,0.217366931,-0.082753354,-0.329996842,62528312.0,564.0,29.0,BV15P4y157XB,891635104.0,-0.220970064,-0.251896776,-0.162642817,-0.296269838,-0.228033261,-0.222217337,-0.207068625,2.0,4344.0,健身,0.263954463,-0.044907515,-0.230282402,运动
12824,15821.0,天亮了,0.0,0.0,1.0,0.0,0.836650855,1.0,0.0,-0.599388738,-0.082704472,-0.502360057,61886321.0,44.0,706.0,BV1oV411p7Rb,418909633.0,3.717846469,1.017450142,0.636465664,1.145320689,1.246104622,3.716967751,0.808465276,1.0,4344.0,健身,0.263954463,-0.044907515,-0.230282402,运动
12845,15823.0,樱飞堇舞,0.0,0.0,1.0,1.0,-0.731780643,1.0,0.0,0.001472917,-0.082013139,-0.475892298,62092623.0,126.0,259.0,BV1ZW411v782,18516356.0,-0.310459158,-0.303238247,-0.162481262,-0.312338719,-0.242500188,-0.310453971,-0.216616223,0.0,11687.0,综艺,0.010337062,0.876785465,0.188607926,综艺
12850,15825.0,马来君,0.0,0.0,1.0,0.0,0.836650855,0.0,0.0,-0.253438089,-0.082655589,-0.442000654,62174425.0,226.0,715.0,BV1Dv411873X,247381734.0,-0.078457401,0.110136332,-0.062258577,0.257031044,0.052448989,-0.077557998,0.242341694,0.0,47481.0,职场,-0.507272832,-0.293150818,-0.248236982,知识
12870,15845.0,Satono-Diamond,0.0,0.0,1.0,0.0,0.836650855,0.0,1.0,-0.706035179,-0.082753354,-0.487835067,62195245.0,70.0,231.0,BV1tE411c74Q,98561009.0,0.033275998,-0.007637668,0.016447954,0.225164151,0.284921248,0.033718417,0.012832134,0.0,386.0,翻唱,-0.095295973,0.078347883,-0.161556259,音乐
12886,15858.0,FrankJaeger,0.0,0.0,1.0,1.0,0.836650855,1.0,0.0,-0.672220454,-0.059918419,-0.501068947,62524658.0,27.0,196.0,BV134411f7Rf,64139412.0,0.248452648,0.229116673,-0.101795428,-0.033754356,-0.148728926,0.250707426,-0.01776914,0.0,22269.0,瑜伽,-0.452898991,-0.47927142,-0.383943683,运动
12903,15864.0,一天到晚,0.0,1.0,0.0,0.0,-0.731780643,0.0,0.0,-0.690428383,-0.082739387,-0.488157845,62325664.0,88.0,1858823.0,BV1zx411o7zW,56751848.0,-0.103934307,1.766878597,2.141700531,-0.209022268,-0.213561862,-0.105377102,-0.128867068,4.0,11687.0,综艺,0.010337062,0.876785465,0.188607926,综艺
12906,15902.0,Kloes,0.0,0.0,1.0,0.0,-0.731780643,0.0,0.0,-0.867305407,-0.082753354,-0.472341745,62940902.0,137.0,11804.0,BV11741147Ar,87953149.0,-0.234473547,-0.271591406,-0.140142648,-0.281722601,-0.19790575,-0.233344979,-0.1848521,0.0,3531.0,星际争霸2,-0.611001041,-0.479766421,-0.390876146,游戏
12918,15915.0,纯良の吉利君,1.0,0.0,0.0,1.0,-0.731780643,0.0,1.0,-0.482337767,-0.081147227,-0.464272306,1131676215.0,1.0,245610.0,BV1es41127PE,3060477.0,4.729556178,2.749636106,36.81848506,0.846568566,1.281869585,4.729583127,1.282785033,0.0,109540.0,日语学习,-0.259822645,-0.480261423,-0.385240403,知识
13007,15917.0,叫我小夕就好,0.0,0.0,1.0,1.0,0.836650855,1.0,0.0,-0.674821587,-0.082746371,-0.47556952,849867417.0,8.0,2797.0,BV18z4y1C7rX,585132156.0,1.290863727,0.478324952,0.297802873,0.766901333,0.933161198,1.291141906,0.976772287,1.0,47481.0,职场,-0.507272832,-0.293150818,-0.248236982,知识
13125,15955.0,小町子,1.0,0.0,0.0,1.0,-0.731780643,0.0,1.0,-0.071358799,-0.081601132,-0.082103678,54950655.0,1084.0,600.0,BV1i34y1R7f2,807058048.0,0.726443701,0.078899329,-0.115263218,0.280931214,0.463746061,0.72919601,-0.067083094,3.0,28784.0,编程,-0.027574724,-0.395121148,-0.361251089,知识
